Where else in Lines,Uploaded in Dylan,Line,What song is it from? Who wrote it?,Who sang it? Wrote it? ,Website urls,Decade,Genre,Year
24,1,"How many years can a mountain exist Before it’s washed to the sea? Yes, ’n’ how many years can some people exist Before they’re allowed to be free? Yes, ’n’ how many times can a man turn his head Pretending he just doesn’t see?",DOUBLE FEATURE Blowin' in the Wind,Bob Dylan (also sung here by Sam Cooke),https://youtu.be/MMFj8uDubsE?t=57. https://youtu.be/PBDdLgBO0Nw?si=p4AHn8xRG2pEH_rN&t=86,1960s,Folk/Protest,1962
1,2,"Oh, where have you been, my blue-eyed son? Oh, where have you been, my darling young one? I've stumbled on the side of twelve misty mountains. I've walked and I've crawled on six crooked highways. I've stepped in the middle of seven sad forests. I've been out in front of a dozen dead oceans. I've been ten thousand miles in the mouth of a graveyard.",A Hard Rain's Gonna Fall,Bob Dylan (as sung by Patti Smith at 1996 Nobel Prize ceremony),https://youtu.be/941PHEJHCwU?t=8,1960s,Folk/Protest,1963
22,3,"Where I’m bound, I can’t tell But goodbye’s too good a word, gal So I’ll just say fare thee well. I ain’t sayin’ you treated me unkind, You could have done better but I don’t mind. You just kinda wasted my precious time.","Don't Think Twice, It's Alright",Bob Dylan,https://www.youtube.com/watch?v=u-Y3KfJs6T0#t=2m28s,1960s,Folk/Protest,1963
,4,"You've thrown the worst fear that can ever be hurled. Fear to bring children into the world. For threatening my baby, unborn and unnamed. You ain't worth the blood that runs in your veins. How much do I know to talk out of turn? You might say that I'm young. You might say I'm unlearned.  But there's one thing I know though I'm younger than you. That even Jesus would never forgive what you do.",Masters of War,Bob Dylan,https://youtu.be/H3CSBXkwx7o?t=152,1960s,Folk/Protest,1963
10,5,"I ain’t lookin’ to compete with you, Beat or cheat or mistreat you, Simplify you, classify you Deny, defy or crucify you...I don’t want to fake you out, Take or shake or forsake you out, I ain’t lookin’ for you to feel like me, See like me or be like me.",All I Really Want To Do,Bob Dylan,https://youtu.be/a9TgGurxpOI?t=35,1960s,Folk/Protest,1964
15,6,"Einstein, disguised as Robin Hood, With his memories in a trunk Passed this way an hour ago With his friend, a jealous monk. He looked so immaculately frightful As he bummed a cigarette Then he went off sniffing drainpipes And reciting the alphabet. Now you would not think to look at him But he was famous long ago For playing the electric violin.",Desolation Row,Bob Dylan,https://youtu.be/hUvcWXTIjcU?t=240,1960s,Folk/Protest,1965
,7,"All your seasick sailors, they are rowing home. All your reindeer armies, are all going home. The lover who just walked out your door Has taken all his blankets from the floor. The carpet, too, is moving under you.","It's All Over Now, Baby Blue",Bob Dylan,https://www.youtube.com/watch?v=af7ngGxEusE#t=2m27s,1960s,Folk/Protest,1965
32   34,8,"​Once upon a time you dressed so fine, You threw the bums a dime in your prime, didn’t you?
People’d call, say, “Beware doll, you’re bound to fall.”
You thought they were all kiddin’ you.
You used to laugh about everybody that was hangin’ out.
Now you don’t talk so loud. Now you don’t seem so proud
About having to be scrounging for your next meal. How does it feel? How does it feel to be without a home, like a complete unknown.",Like a Rolling Stone,Bob Dylan,https://youtu.be/IwOfCgkyEj0?t=10,1960s,Folk/Protest,1965
,9,Take me for a trip upon your magic swirlin' ship All my senses have been stripped And my hands can't feel to grip And my toes too numb to step Wait only for my boot heels to be wanderin' I'm ready to go anywhere I'm ready for to fade On to my own parade cast your dancin' spell my way I promise to go under it,Mr. Tambourine Man,Bob Dylan Sung also by The Byrds on The Ed Sullivan Show,https://www.youtube.com/watch?v=PYF8Y47qZQY#t=1m29s.  https://youtu.be/PnstCrL1_e0?t=39,1960s,Folk/Protest,1965
,24,"They're selling postcards of the hanging
They're painting the passports brown
The beauty parlor Is filled with sailors
The circus is in town
Here comes The blind commissioner
They've got him in a trance
One hand is tied To the tight-rope walker
The other is in his pants
And the riot squad, They're restless
They need somewhere to go
As Lady And I look out tonight",Desolation Row,Bob Dylan,https://youtu.be/hUvcWXTIjcU?t=8,1960s,Folk/Protest,1965
,23,"Yes, and how many times must a man look up
Before he can see the sky?
And how many ears must one man have
Before he can hear people cry?
Yes, and how many deaths will it take 'til he knows
That too many people have died?",Blowin' in the Wind,Bob Dylan,https://youtu.be/MMFj8uDubsE?t=107,1960s,Folk/Protest,1962
1,25,"Oh, who did you meet, my blue-eyed son?
Who did you meet, my darling young one?
I met a young child beside a dead pony
I met a white man who walked a black dog
I met a young woman whose body was burning
I met a young girl, she gave me a rainbow
I met one man who was wounded in love
I met another man who was wounded with hatred",A Hard Rain's Gonna Fall,DOUBLE FEATURE Bob Dylan (as sung by Patti Smith at 1996 Nobel Prize ceremony),https://youtu.be/T5al0HmR4to?t=223  https://youtu.be/941PHEJHCwU?t=277,1960s,Folk/Protest,1963
10,13,"God said to Abraham, “Kill me a son.” Abe says, “Man, you must be puttin’ me on.” God say, “No.” Abe say, “What?” God say, “You can do what you want Abe, but The next time you see me comin’ you better run.” Well Abe says, “Where do you want this killin’ done?”",Highway 61,Bob Dylan,https://youtu.be/NDgefX2sZRU?t=20,1960s,Rock,1965
,14,"Oh, get sick, get well, hang around an ink well. Hang bail, hard to tell if anything is goin' to sell. Try hard, get barred, get back, write braille. Get jailed, jump bail, join the army, if you fail. Look out kid. You're gonna get hit but losers, cheaters, six-time users hang around the theaters.  Girl by the whirlpool, lookin' for a new fool. Don't follow leaders, watch the parkin' meters.",Subterranean Homesick Blues,Bob Dylan,https://youtu.be/MGxjIBEZvx0?t=69,1960s,Rock,1965
,15,"""No reason to get excited,” the thief, he kindly spoke. “There are many here among us who feel that life is but a joke, But you and I, we’ve been through that, and this is not our fate So let us not talk falsely now, the hour is getting late.”",All Along the Watchtower,Bob Dylan  Sung by Jimi Hendrix,https://youtu.be/TLV4_xaYynY?t=68,1960s,Rock,1967
,16,May your hands always be busy. May your feet always be swift. May you have a strong foundation When the winds of changes shift. May your heart always be joyful. May your song always be sung.,Forever Young,DOUBLE FEATURE Bob Dylan Sung also by Joan Baez,https://youtu.be/P1fSVbBwVX8?t=229.  https://youtu.be/-4UoJ47SzjA?t=127,1970s,Rock,1974
,22,"Runnin' from the cold up in New England
I was born to be a fiddler in an old time string band
My baby plays a guitar, I pick a banjo now
Oh, north country winters keep a-gettin' me down
Lost my money playin' poker, so I had to leave town
But I ain't a-turnin' back to livin' that old life no more",Wagon Wheel,"Bob Dylan, Arthur Crudup and Ketch Secor of Old Crow Medicine Show. Sung by Darius Rucker/Old Crow Medicine Show/Dylan",https://youtu.be/zKgbZOplDIw?t=78  https://youtu.be/hvKyBcCDOB4?t=102  https://youtu.be/2hqONoxDTlk?t=72,1970s,Country,1973
,18,"She was fair-skinned and precious as a child. She did whatever she had to do, she had that certain flash every time she smiled. She'd come away from a broken home, had lots of strange affairs with men in every walk of life which took her everywhere.","Lily, Rosemary and the Queen of Hearts",Bob Dylan  Sung by Joan Baez,https://youtu.be/3AQJZys0cvI?t=209,1970s,Rock,1975
,19,"Split up on a dark, sad night
Both agreeing it was best
She turned around to look at me
As I was walking away
I heard her say over my shoulder
""We'll meet again someday on the avenue""",Tangled up in Blue,Bob Dylan,https://youtu.be/YwSZvHqf9qM?t=65,1970s,Folk,1975
,20,"People see me all the time
And they just can't remember how to act
Their minds are filled with big ideas
Images and distorted facts
Even you, yesterday
You had to ask me where it was at
I couldn't believe after all these years
You didn't know me better than that
Sweet lady",Idiot Wind,Bob Dylan,https://youtu.be/5E4ytUW8g_0?t=72,1970s,Folk,1975
,21,"Queen Mary, she's my friend
Yes, I believe I'll go see her again
Nobody has to guess that baby can't be blessed
'Til she finally sees that she's like all the rest
With her fog, her amphetamine, and her pearls",Just Like a Woman,Bob Dylan,https://youtu.be/dRLXZVojdhQ?t=74,1960s,Rock,1966
,17,"A saxophone someplace far off played
As she was walking on by the arcade
As the light bust through a beat up shade
Where he was waking up.
She dropped a coin into the cup of a blind man at the gate",Simple Twist of Fate,Bob Dylan,https://youtu.be/oXlkwHECabU?t=90,1970s,Folk,1975
,11,"Don't have the inclination to look back on any mistake
Like Cain, I behold this chain of events that I must break
In the fury of the moment, I can see the master's hand
In every leaf that trembles",Every Grain of Sand,Bob Dylan,https://youtu.be/lhJaENjDEME?t=48,1980s,Folk,1981
,10,"It was down in Chaynee County
A time they talk about
With his lady by his side
He took a stand
And soon the situation there
Was all but straightened out
For he was always known
To lend a helping hand",John Wesley Harding,Bob Dylan,https://youtu.be/22THbJc39ss?t=60,1960s,Folk,1967
,12,"When a cop pulled him over to the side of the road
Just like the time before and the time before that
In Paterson that’s just the way things go
If you’re black
You might as well not show up on the street
Unless you want to draw the heat",Hurricane,Bob Dylan,https://youtu.be/voH11xV4AKI?t=240,1970s,Rock,1976
,26,"Mama, put my guns in the ground
I can't shoot them anymore
That long black cloud is comin' down",Knockiin' on Heaven’s Door for movie Pat Garrett and Billy The Kid,"Bob Dylan, sung with Tom Petty",https://youtu.be/PHdioix-BgQ?t=82,1970s,Rock,1973
,27,"Ain't it just like the night to play tricks when you're tryin' to be so quiet?
We sit here stranded, though we're all doin' our best to deny it
And Louise holds a handful of rain, temptin' you to defy it
Lights flicker from the opposite loft
In this room the heat pipes just cough
The country music station plays soft
But there's nothing, really nothing to turn off
Just Louise and her lover so entwined",Visions of Johanna,Bob Dylan,https://youtu.be/uW9_2r3raHE?t=28,1960s,Folk,1966
,28,"Well, I heard that hoo-dove singing
As they were taking down the tent
The stars above the barren trees
Was his only audience
Them charcoal gypsy maidens
Can strut their feathers well
But nobody can sing the blues",Blind Willie McTell ,Bob Dylan,https://youtu.be/_uf5gi3E_rQ?t=68,1980s,Jazz,1983
,29,"Well, my sense of humanity has gone down the drain
Behind every beautiful thing there's been some kind of pain
She wrote me a letter and she wrote it so kind
She put down in writin' what was in her mind
I just don't see why I should even care",Not Dark Yet ,Bob Dylan,https://youtu.be/RZgBhyU4IvQ?t=87,1990s,Folk,1997
,30,"Please, see if her hair hangs long
If it rolls and flows all down her breast
Please, see for me if her hair's hangin' long
'Cause that's the way I remember her best
I'm a-wonderin' if she remembers me at all
Many times I've often prayed
In the darkness of my night
In the brightness of my day",Girl From the North Country,Bob Dylan,https://youtu.be/2Sx7RN5FxWI?t=66,1960s,Folk,1963
,31,"A question in your nerves is lit Yet you know there is no answer fit To satisfy, insure you not to quit To keep it in your mind and not forgetT hat it is not he or she or them or it That you belong to Although the masters make the rules For the wise men and the fools
  I got nothing, Ma, to live up to",It’s Alright Ma (I’m Only Bleeding),Bob Dylan,https://youtu.be/xv3rfEdGSNw?t=227,1960s,Folk,1963
,32,"Starry eyed and laughin' as I recall when we were caught
Trapped by an old track of vows for the hands suspended
As we listened one last time, and we watched with one last look
Spellbound and swallowed
Till the tolling ended",Chimes of Freedom,Bob Dylan,https://youtu.be/LVIWA9VTiN8?t=358,1960s,Folk,1964
,33,"Life is sad
Life is a bust
All ya can do is do what you must
You do what you must do and ya do it well
I'll do it for you
Honey baby, can't you tell?",Buckets of Rain,Bob Dylan,https://youtu.be/AaPXqh9Id9E?t=156,1970s,Folk,1975
,34,"Half-wracked prejudice leaped forth
“Rip down all hate,” I screamed
Lies that life is black and white
Spoke from my skull, I dreamed
Romantic facts of musketeers
Foundationed deep, somehow
Ah, but I was so much older then
I’m younger than that now",My Back Pages,DOUBLE FEATURE Bob Dylan Sung by The Byrds,https://youtu.be/rGEIMCWob3U?t=60. https://youtu.be/mKKLIrOGfUo?t=39,1960s,Folk,1964
,38,"I know you haven't made your mind up yet
But I would never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong
I'd go hungry, I'd go black and blue
I'd go crawling down the avenue
No, there's nothing that I wouldn't do",Make You Feel My Love,QUAD FEATURE Bob Dylan Sung also by Adele and Garth Brooks,https://youtu.be/fdWto-AUM3Q?t=55  https://youtu.be/0put0_a--Ng?t=87  https://youtu.be/-FlSP0wsF5U?t=64,1990s,Folk,1997
,35,"In the dime stores and bus stations,
People talk of situations,
Read books, repeat quotations,
Draw conclusions on the wall.
Some speak of the future,
My love she speaks softly,
She knows there's no success like failure
And that failure's no success at all.",Love Minus Zero/No Limit,Bob Dylan,https://youtu.be/hzkeBOo8x9o?t=55,1960s,,1965
,36,"If not for you
Babe, I couldn't even find the door
I couldn't even see the floor
I'd be sad and blue, if not for you
If not for you
Babe, the night would see me wide awake
The day would surely have to break
It would not be new, if not for you
If not for you, my sky would fall
Rain would gather, too
Without your love I'd be nowhere at all
I'd be lost, if not for you
",If Not For You,Bob Dylan,https://youtu.be/yyouhbgAiCA?t=26,1970s,,1970
