 me ,,,,,,
Uploaded,Line,What song is it from?,Which album? ,Website urls,Decade,Year
17,"I got no deeds to do, no promises to keep. I’m dappled and drowsy and ready to sleep, Let the morning time drop all its petals on me, Life, I love you",59th Street Bridge Song (Feelin' Groovy),"Paul Simon on Parsley, Sage, Rosemary and Thyme",https://www.youtube.com/watch?v=mWBvcJAXwu4#t=1m05s,1960s,1966
15,"Hang on to your hopes, my friend. That’s an easy thing to say. But if your hopes should pass away, simply pretend that you can build them again.",A hazy shade of winter,Paul Simon,https://www.youtube.com/watch?v=bnZdlhUDEJo#t=0m56s,1960s,1968
18,"I just walk in the middle of the road and I sleep in the middle of the bed. I stop in the middle of a sentence and the voice in the middle of my head said, ""Hey, Junior, where you been so long. Don’t you know me.""",Ace in the Hole,Paul Simon on One-Trick Pony,https://www.youtube.com/watch?v=vM-MtIztspI#t=1m41s,1980s,1980
16,"I don’t know a soul who’s not been battered, I don’t have a friend who feels at ease, I don’t know a dream that’s not been shattered or driven to its knees. Oh, but it’s alright, it’s alright.",TRIPLE FEATURE American Tune,Paul Simon on There Goes Rhymin' Simon and with Rhiannon Giddens and by Allen Touissant,https://www.youtube.com/watch?v=AE3kKUEY5WU#t=0m55s https://youtu.be/wEivUgsbwOs?t=4897. https://youtu.be/u6Mv0X-1qLA?si=RuIEMxHv_mi0kge5&t=67,1970s,1973
14,"Voices leaking from a sad café, smiling faces trying to understand. I saw a shadow touch a shadow’s hand.",Bleecker Street,Paul Simon,https://www.youtube.com/watch?v=UgNx-fPHNYM#t=0m37s,1960s,1964
20,Never been lonely. Never been lied to. Never had to scuffle in fear. Nothing denied to. Born at the instant the church bells chime and the whole world whispering.,Born at the right time,Paul Simon on Rhythm of the Saints,https://www.youtube.com/watch?v=9ypNNxuPnSw#t=0m44s,1990s,1990
19,"When you’re down and out, when you’re on the street, when evening falls so hard, I will comfort you. I’ll take your part when darkness comes and the pain is all around.",DOUBLE FEATURE Bridge over troubled waters,Paul Simon Bridge over troubled waters and by Aretha Franklin,https://youtu.be/q-XCmb6t6Zw?t=102. https://youtu.be/5-7ublizwZ0?si=eKuAtq1lwJQFf-YU&t=115,1970s,1970
13,"People are strangers
They change with the curve
From time zone to time zone
As we can observe
They shut down their borders
And think they’re immune
They stand on their differences
And shoot at the moon",Cars are cars,Paul Simon,https://www.youtube.com/watch?v=aMyyZb7nebM#t=0m55s,1980s,
45,"On Christmas morning Frank awakes To find Lorraine has made a stack of pancakes. They watch the television, husband and wife. All afternoon, It’s a Wonderful Life What–you don’t love me anymore? What–you’re walking out door? What–you don’t like the way I chew? Hey, let me tell you, You’re not the woman that I wed, Gimme my robe, I’m going back to bed",Darling Lorraine,Paul Simon on You're the One,https://www.youtube.com/watch?v=U5eNT6lzzVU#t=3m48s,2000s,2000
21,"Couple in the next room bound to win a prize.  They’ve been going at it all night long. Well, I’m trying to get some sleep but these motel walls are cheap.",Duncan,Paul Simon on Paul Simon,https://www.youtube.com/watch?v=u3_UddjEGMA#t=0m17s,1970s,1972
49,"Holes in my confidence. Holes in the knees of my jeans. I was left without a penny in my pocket. Oo-we, I was about as destituted as a kid could be and I wished I wore a ring so I could hock, I’d like to hock it.",Duncan,Paul Simon,https://www.youtube.com/watch?v=u3_UddjEGMA#t=1m30s,1970s,
11,"I’d rather be a hammer than a nail. Yes, I would, if I only could. I surely would. I’d rather be a forest than a street, yes, I would, if I could. I surely would. I’d rather sail away like a swan that’s here and gone. A man gets tied up to the ground. He gives the world its saddest sound, its saddest sound.",El Condor Pasa,Paul Simon,https://www.youtube.com/watch?v=QqJvqMeaDtU#t=1m36s,1970s,
22,"No matter if you’re born to play the king or pawn, for the line is thinly drawn ‘tween joy and sorrow. So my fantasy becomes reality adnd I must be what I must be and face tomorrow.",Flowers never bend with the rainfall,"Paul Simon on Parsley, Sage, Rosemary and Thyme",https://youtu.be/Fd-DvSTBq1o?t=79,1960s,1966
3,"Through the corridors of sleep
Past shadows, dark and deep
My mind dances and leaps in confusion
I don’t know what is real
I can’t touch what I feel
And I hide behind the shield of my illusion",Flowers never bend with the rainfall,Paul Simon,https://www.youtube.com/watch?v=MkXtiblS834#t=0m05s,1960s,
47,"Once in a while, from out of nowhere
When you don’t expect it, and you’re unprepare, Somebody will come and lift you higher And your burdens will be shared Yes I do believe, if I hadn't met you
I might still be sinking fast
I've had a long streak of bad luck   ",Gone at last,Paul Simon from Still Crazy After All These Years (with Phoebe Snow and Jessie Dixon Singers),https://youtu.be/r5eotQ_J3ms?t=123,1970s,1975
46,"The night was black, the roads were icy, Snow was fallin’, drifts were high
And I was weary from my driving
And I stopped to rest for awhile
I sat down at a truck stop
I was thinking about my past
I’ve had a long streak of that bad luck",Gone at last,Paul Simon,https://www.youtube.com/watch?v=wT_zVoA6mYE#t=0m20s,1970s,1975
