12,"You're asking me will my love grow
I don't know, I don't know
You stick around, now it may show
I don't know, I don't know",Something / Harrison,Abbey Road ,Billie Eilish,https://youtu.be/UelDrZ1aFeY?t=75. https://youtu.be/Rzffj9MZH4A?t=76,1969
3,"Little darling, the smiles returning to the faces
Little darling, it feels like years since it's been here",Here Comes the Sun / Harrison,Abbey Road / Richie Havens,Richie Havens,https://youtu.be/KQetemT1sWc?t=58. https://youtu.be/JOotCVMFncE?t=42,1969
2,"Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up, I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream",A Day in the Life  Lennon/McCartney,Sgt. Pepper's Lonely Hearts Club Band ,Neil Young,https://youtu.be/usNsCeOV4GM?t=139  https://youtu.be/_lLPqdN2cOA?t=165,1967
1,"He wear no shoe shine
He got toe jam football
He got monkey finger
He shoot Coca-Cola
He say I know you, you know me
One thing I can tell you is you got to be free",Come Together  Lennon/McCartney,Abbey Road / Arctic Monkeys,Arctic Monkeys,https://youtu.be/45cYwDMibGo?t=47. https://youtu.be/-68UjvpPmmA?t=43,1969
18,"Living is easy with eyes closed
Misunderstanding all you see
It's getting hard to be someone
But it all works out
It doesn't matter much to me",Strawberry Fields Forever,Sgt. Pepper's Lonely Hearts Club Band,Peter Gabriel,https://youtu.be/HtUH9z_Oey8?t=32. https://youtu.be/KBXXqpOq9po?t=40,1967
19,"Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them",In My Life,Rubber Soul,Ed Shearan,https://youtu.be/YBcdt6DsLQA?t=68. https://youtu.be/ykYTGUzFQqU?t=72,1965
4,"Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die",And I Love Her  Lennon McCartney,A Hard Day's Night,Kurt Cobain from film Kurt Cobain: Montage of Heck,https://youtu.be/5tc0gLSSU1M?t=66. https://youtu.be/rBzA4shGmw8?t=35,1964
---,----,Blackbird / Lennon McCartney, The Beatles White Album,,,1968
13,"It's a thousand pages, give or take a few
I'll be writing more in a week or two
I could make it longer if you like the style
I can change it 'round",Paperback Writer / Lennon McCartney,A Collection of Beatles Oldies,Blossoms,https://youtu.be/yYvkICbTZIQ?t=60. https://youtu.be/hr4NnzGykjI?t=59,1966
5,"The barber shaves another customer
We see the banker sitting waiting for a trim
And then, the fireman rushes in from the pouring rain
Very strange",Penny Lane / Lennon McCartney,Sgt. Pepper's Lonely Hearts Club Band,Elvis Costello in 2010 White House concert honoring McCartney with Gershwin Prize,https://youtu.be/S-rB0pHI9fU?t=122. https://youtu.be/vSo-VFTq5PU?t=195,1967
20,"There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say, but you can learn how to play the game
It's easy
Nothing you can make that can't be made
No one you can save that can't be saved
Nothing you can do, but you can learn how to be you in time
It's easy",All You Need is Love / Lennon McCartney,Magical Mystery Tour,"Paul McCartney, Joe Cocker, Eric Clapton & Rod Stewart ",https://youtu.be/_7xMfIp-irg?t=26.  https://youtu.be/_OuYLGHkrBk?t=57,1967
16,"Jojo was a man who thought he was a loner
But he knew it couldn't last
Jojo left his home in Tucson, Arizona
For some California grass",Get Back,Let It Be,Al Green,https://youtu.be/IKJqecxswCA?t=25.  https://youtu.be/wXds1GxlY_c?t=15,1970
17,"The wild and windy night
That the rain washed away
Has left a pool of tears
Crying for the day
Why leave me standing here?
Let me know the way",The Long and Winding Road,Let It Be,Ray Charles,https://youtu.be/fR4HjTH_fTM?t=43. https://youtu.be/Y6gCUGaiG6k?t=74,1970
15,"Before she gets to saying goodbye
She ought to think twice
She ought to do right by me
She said that living with me
Is bringing her down, yeah
For she would never be free
When I was around",Ticket to Ride  Lennon/McCartney,The Beatles Greatest and movie Help!,The Carpenters,https://youtu.be/SyNt5zm3U_M?t=37.  https://youtu.be/fsgj4xcxXyA?t=139,1965
14,"The band begins at ten to six
When Mr. K. performs his tricks without a sound
And Mr. H. will demonstrate
Ten summer sets he'll undertake on solid ground
Having been some days in preparation
A splendid time is guaranteed for all
And tonight Mr. Kite is topping the bill",Being for the Benefit of Mr. Kite,Sgt. Pepper's Lonely Hearts Club Band and movie: Yellow Submarine,Eddie Izzard from Across the Universe,https://youtu.be/1gLCMXIMtqg?t=153    https://youtu.be/59ahx9ckqIw?t=140,1967
